,weight,height,id,name,bred_for,breed_group,life_span,temperament,origin,country_code,description,history,img
91,"{'imperial': '12', 'metric': '5'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",128,Griffon Bruxellois,Hunt and kill vermin in stables,,10 – 15 years,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",,,,,https://cdn2.thedogapi.com/images/SkJ3blcN7_1280.jpg
92,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",129,Harrier,Hunting hares by trailing them,Hound,12 - 15 years,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",,,,,
93,"{'imperial': '7 - 13', 'metric': '3 - 6'}","{'imperial': '8.5 - 11.5', 'metric': '22 - 29'}",130,Havanese,Companionship,Toy,14 - 15 years,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",,,,,https://cdn2.thedogapi.com/images/HyL3bl94Q_1280.jpg
94,"{'imperial': '35 - 70', 'metric': '16 - 32'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",134,Irish Setter,"Bird setting, retrieving",Sporting,10 - 11 years,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",,,,,https://cdn2.thedogapi.com/images/S1nhWx94Q_1280.jpg
95,"{'imperial': '25 - 27', 'metric': '11 - 12'}","{'imperial': '18', 'metric': '46'}",135,Irish Terrier,,Terrier,12 - 16 years,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",,,,,
96,"{'imperial': '105 - 180', 'metric': '48 - 82'}","{'imperial': '30 - 35', 'metric': '76 - 89'}",137,Irish Wolfhound,"Coursing wolves, elk",Hound,6 - 8 years,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",,,,,
97,"{'imperial': '7 - 15', 'metric': '3 - 7'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",138,Italian Greyhound,Lapdog,Toy,12 - 15 years,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",,,,,https://cdn2.thedogapi.com/images/BkE6Wg5E7_1280.jpg
98,"{'imperial': '4 - 9', 'metric': '2 - 4'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",140,Japanese Chin,Lapdog,Toy,12 - 14 years,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",,,,,
99,"{'imperial': '15 - 19', 'metric': '7 - 9'}","{'imperial': '12 - 15', 'metric': '30 - 38'}",141,Japanese Spitz,Companion,,10 – 16 years,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",,,,,
100,"{'imperial': '35 - 45', 'metric': '16 - 20'}","{'imperial': '17 - 18', 'metric': '43 - 46'}",142,Keeshond,Barge watchdog,Non-Sporting,12 - 15 years,"Agile, Obedient, Playful, Quick, Sturdy, Bright",,,,,https://cdn2.thedogapi.com/images/By4A-eqVX_1280.jpg
101,"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '25.5 - 27.5', 'metric': '65 - 70'}",144,Komondor,Sheep guardian,Working,10 - 12 years,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",,,,,https://cdn2.thedogapi.com/images/H1QyMe5EQ_1280.jpg
102,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 16', 'metric': '36 - 41'}",145,Kooikerhondje,"Luring ducks into traps - ""tolling""",Sporting,12 - 15 years,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",,,,,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg
103,"{'imperial': '70 - 115', 'metric': '32 - 52'}","{'imperial': '26 - 30', 'metric': '66 - 76'}",147,Kuvasz,"Guardian, hunting large game",Working,8 - 10 years,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",,,,,https://cdn2.thedogapi.com/images/SkIgzxqNQ_1280.jpg
104,"{'imperial': '55 - 80', 'metric': '25 - 36'}","{'imperial': '21.5 - 24.5', 'metric': '55 - 62'}",149,Labrador Retriever,Water retrieving,Sporting,10 - 13 years,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",,,,,https://cdn2.thedogapi.com/images/SJ6eMxqEQ_1280.jpg
105,"{'imperial': '24 - 35', 'metric': '11 - 16'}","{'imperial': '16 - 19', 'metric': '41 - 48'}",151,Lagotto Romagnolo,Water retrieval dog in the marshes of Romagna,Sporting,14 - 16 years,"Keen, Loyal, Companionable, Loving, Active, Trainable",,,,,
106,"{'imperial': '6 - 13', 'metric': '3 - 6'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",153,Lancashire Heeler,"Cattle herding, Ratting, Driving cattle to market.",,12 – 15 years,"Clever, Friendly, Alert, Intelligent",,,,,https://cdn2.thedogapi.com/images/S1VWGx9Nm_1280.jpg
107,"{'imperial': '120 - 170', 'metric': '54 - 77'}","{'imperial': '25.5 - 31.5', 'metric': '65 - 80'}",155,Leonberger,"Guardian, appearance.",Working,6 - 8 years,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",,,,,https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg
108,"{'imperial': '12 - 18', 'metric': '5 - 8'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",156,Lhasa Apso,"Guarding inside the home, companion",Non-Sporting,12 - 15 years,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",,,,,
109,"{'imperial': '4 - 7', 'metric': '2 - 3'}","{'imperial': '8 - 10', 'metric': '20 - 25'}",161,Maltese,Lapdog,Toy,15 - 18 years,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",,,,,https://cdn2.thedogapi.com/images/S1KMGg5Vm_1280.jpg
110,"{'imperial': '20 - 40', 'metric': '9 - 18'}","{'imperial': '13 - 18', 'metric': '33 - 46'}",165,Miniature American Shepherd,,Herding,12 - 15 years,"Energetic, Loyal, Intelligent, Trainable",,,,,
111,"{'imperial': '8 - 11', 'metric': '4 - 5'}","{'imperial': '10 - 12.5', 'metric': '25 - 32'}",167,Miniature Pinscher,Small vermin hunting,Toy,15 years,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",,,,,
112,"{'imperial': '11 - 20', 'metric': '5 - 9'}","{'imperial': '12 - 14', 'metric': '30 - 36'}",168,Miniature Schnauzer,Ratting,Terrier,12 - 14 years,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",,,,,https://cdn2.thedogapi.com/images/HyWNfxc47_1280.jpg
113,"{'imperial': '100 - 150', 'metric': '45 - 68'}","{'imperial': '26 - 28', 'metric': '66 - 71'}",171,Newfoundland,"All purpose water dog, fishing aid",Working,8 - 10 years,"Sweet-Tempered, Gentle, Trainable",,,,,https://cdn2.thedogapi.com/images/B1u4zgqE7_1280.jpg
114,"{'imperial': '11 - 12', 'metric': '5 - 5'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",172,Norfolk Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",,,,,https://cdn2.thedogapi.com/images/SJyBfg5NX_1280.jpg
115,"{'imperial': '11 - 12', 'metric': '5 - 5'}","{'imperial': '10', 'metric': '25'}",176,Norwich Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",,,,,https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg
116,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '17 - 21', 'metric': '43 - 53'}",177,Nova Scotia Duck Tolling Retriever,,Sporting,12 - 14 years,"Outgoing, Alert, Patient, Intelligent, Loving",,,,,
117,"{'imperial': '60 - 100', 'metric': '27 - 45'}","{'imperial': '21', 'metric': '53'}",178,Old English Sheepdog,"Driving sheep, cattle",Herding,10 - 12 years,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",,,,,
118,"{'imperial': '65 – 85', 'metric': 'NaN'}","{'imperial': '15 - 19', 'metric': '38 - 48'}",179,Olde English Bulldogge,,,9 – 14 years,"Friendly, Alert, Confident, Loving, Courageous, Strong",,,,,https://cdn2.thedogapi.com/images/H1NIzlcV7_1280.jpg
119,"{'imperial': '3 - 12', 'metric': '1 - 5'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",181,Papillon,Lapdog,Toy,13 - 17 years,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",,,,,https://cdn2.thedogapi.com/images/H1oLMe94m_1280.jpg
120,"{'imperial': '14', 'metric': '6'}","{'imperial': '6 - 9', 'metric': '15 - 23'}",183,Pekingese,Lapdog,Toy,14 - 18 years,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",,,,,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ_1280.jpg
121,"{'imperial': '25 - 30', 'metric': '11 - 14'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",184,Pembroke Welsh Corgi,Driving stock to market in northern Wales,Herding,12 - 14 years,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",,,,,
122,"{'imperial': '88 - 110', 'metric': '40 - 50'}","{'imperial': '22 - 25.5', 'metric': '56 - 65'}",185,Perro de Presa Canario,,Working,10 - 12 years,"Strong Willed, Suspicious, Gentle, Dominant, Calm",,,,,https://cdn2.thedogapi.com/images/SJ5vzx5NX_1280.jpg
123,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '21 - 25', 'metric': '53 - 64'}",188,Pharaoh Hound,Hunting rabbits,Hound,12 - 14 years,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",,,,,https://cdn2.thedogapi.com/images/B1Edfl9NX_1280.jpg
124,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '20 - 25', 'metric': '51 - 64'}",189,Plott,Hunting big-game like Boar.,Hound,12 - 14 years,"Bold, Alert, Loyal, Intelligent",,,,,https://cdn2.thedogapi.com/images/B12uzg9V7_1280.png
125,"{'imperial': '3 - 7', 'metric': '1 - 3'}","{'imperial': '8 - 12', 'metric': '20 - 30'}",193,Pomeranian,Companion,Toy,15 years,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",,,,,
126,"{'imperial': '15 - 17', 'metric': '7 - 8'}","{'imperial': '11 - 15', 'metric': '28 - 38'}",196,Poodle (Miniature),,,12 – 15 years,,,,,,https://cdn2.thedogapi.com/images/ryNYMx94X_1280.jpg
127,"{'imperial': '6 - 9', 'metric': '3 - 4'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",197,Poodle (Toy),,,18 years,,,,,,https://cdn2.thedogapi.com/images/ryoYGec4Q_1280.jpg
128,"{'imperial': '14 - 18', 'metric': '6 - 8'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",201,Pug,Lapdog,Toy,12 - 14 years,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",,,,,https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg
129,"{'imperial': '25 - 35', 'metric': '11 - 16'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",204,Puli,Herding,Herding,12 - 16 Years years,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",,,,,https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg
130,"{'imperial': '18 - 33', 'metric': '8 - 15'}","{'imperial': '15 - 18.5', 'metric': '38 - 47'}",205,Pumi,,Herding,13 - 15 years,"Lively, Reserved, Intelligent, Active, Protective, Vocal",,,,,
131,"{'imperial': '8 - 25', 'metric': '4 - 11'}","{'imperial': '10 - 13', 'metric': '25 - 33'}",207,Rat Terrier,,Terrier,12 - 18 years,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",,,,,
132,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '21 - 27', 'metric': '53 - 69'}",208,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",Hound,10 - 12 years,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",,,,,
133,"{'imperial': '75 - 80', 'metric': '34 - 36'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",209,Rhodesian Ridgeback,"Big game hunting, guarding",Hound,10 - 12 years,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",,,,,https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg
134,"{'imperial': '75 - 110', 'metric': '34 - 50'}","{'imperial': '22 - 27', 'metric': '56 - 69'}",210,Rottweiler,"Cattle drover, guardian, draft",Working,8 - 10 years,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",,,,,https://cdn2.thedogapi.com/images/By-hGecVX_1280.jpg
135,"{'imperial': '3 - 6', 'metric': '1 - 3'}","{'imperial': '7.5 - 10.5', 'metric': '19 - 27'}",211,Russian Toy,,Toy,10 - 12 years,,,,,,
136,"{'imperial': '130 - 180', 'metric': '59 - 82'}","{'imperial': '25.5 - 27.5', 'metric': '65 - 70'}",212,Saint Bernard,"Draft, search, rescue",Working,7 - 10 years,"Friendly, Lively, Gentle, Watchful, Calm",,,,,https://cdn2.thedogapi.com/images/Hyd2zgcEX_1280.jpg
137,"{'imperial': '35 - 65', 'metric': '16 - 29'}","{'imperial': '23 - 28', 'metric': '58 - 71'}",213,Saluki,Coursing gazelle and hare,Hound,12 - 14 years,"Aloof, Reserved, Intelligent, Quiet",,,,,https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg
138,"{'imperial': '50 - 60', 'metric': '23 - 27'}","{'imperial': '19 - 23.5', 'metric': '48 - 60'}",214,Samoyed,"Herding reindeer, guardian, draft",Working,12 - 14 years,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",,,,,
139,"{'imperial': '10 - 16', 'metric': '5 - 7'}","{'imperial': '10 - 13', 'metric': '25 - 33'}",216,Schipperke,Barge watchdog,Non-Sporting,13 - 15 years,"Fearless, Agile, Curious, Independent, Confident, Faithful",,,,,https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg
140,"{'imperial': '70 - 130', 'metric': '32 - 59'}","{'imperial': '28 - 32', 'metric': '71 - 81'}",218,Scottish Deerhound,Coursing deer,Hound,8 - 10 years,"Docile, Friendly, Dignified, Gentle",,,,,https://cdn2.thedogapi.com/images/HksaMxqNX_1280.jpg
141,"{'imperial': '18 - 22', 'metric': '8 - 10'}","{'imperial': '10', 'metric': '25'}",219,Scottish Terrier,Vermin hunting,Terrier,11 - 13 years,"Feisty, Alert, Independent, Playful, Quick, Self-assured",,,,,https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg
142,"{'imperial': '30', 'metric': '14'}","{'imperial': '13 - 16', 'metric': '33 - 41'}",221,Shetland Sheepdog,Sheep herding,Herding,12 - 14 years,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",,,,,
143,"{'imperial': '17 - 23', 'metric': '8 - 10'}","{'imperial': '13.5 - 16.5', 'metric': '34 - 42'}",222,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,12 - 16 years,"Charming, Fearless, Keen, Alert, Confident, Faithful",,,,,https://cdn2.thedogapi.com/images/Bko0fl547_1280.jpg
144,"{'imperial': '9 - 16', 'metric': '4 - 7'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",223,Shih Tzu,Lapdog,Toy,10 - 18 years,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",,,,,
145,"{'imperial': '120 - 140', 'metric': '54 - 64'}","{'imperial': '26 - 30', 'metric': '66 - 76'}",225,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",,9 – 14 years,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",,,,,
146,"{'imperial': '35 - 60', 'metric': '16 - 27'}","{'imperial': '20 - 23.5', 'metric': '51 - 60'}",226,Siberian Husky,Sled pulling,Working,12 years,"Outgoing, Friendly, Alert, Gentle, Intelligent",,,,,https://cdn2.thedogapi.com/images/BykZ7ecVX_1280.jpg
147,"{'imperial': '8 - 10', 'metric': '4 - 5'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",228,Silky Terrier,"Small vermin hunting, companionship",Toy,12 - 15 years,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",,,,,
148,"{'imperial': 'up - 18', 'metric': 'NaN - 8'}","{'imperial': '15.5', 'metric': '39'}",232,Smooth Fox Terrier,Fox bolting,Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",,,,,https://cdn2.thedogapi.com/images/B1uW7l5VX_1280.jpg
149,"{'imperial': '30 - 40', 'metric': '14 - 18'}","{'imperial': '16 - 18', 'metric': '41 - 46'}",233,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",Terrier,12 - 15 years,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",,,,,
150,"{'imperial': '30 - 50', 'metric': '14 - 23'}","{'imperial': '16 - 20', 'metric': '41 - 51'}",235,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,Sporting,12 - 15 years,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",,,,,https://cdn2.thedogapi.com/images/ryzzmgqE7_1280.jpg
151,"{'imperial': '61 - 85', 'metric': '28 - 39'}","{'imperial': '22.5 - 27.5', 'metric': '57 - 70'}",236,Spinone Italiano,,Sporting,10 - 12 years,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",,,,,
152,"{'imperial': '24 - 38', 'metric': '11 - 17'}","{'imperial': '14 - 16', 'metric': '36 - 41'}",238,Staffordshire Bull Terrier,,Terrier,12 - 14 years,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",,,,,https://cdn2.thedogapi.com/images/S1RGml5Em_1280.jpg
153,"{'imperial': '30 - 50', 'metric': '14 - 23'}","{'imperial': '17.5 - 19.5', 'metric': '44 - 50'}",239,Standard Schnauzer,"Ratting, guarding",Working,13 - 15 years,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",,,,,
154,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '11.5 - 13.5', 'metric': '29 - 34'}",242,Swedish Vallhund,,Herding,12 - 14 years,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",,,,,https://cdn2.thedogapi.com/images/ByrmQlqVm_1280.jpg
155,"{'imperial': '35 - 55', 'metric': '16 - 25'}","{'imperial': '20 - 24', 'metric': '51 - 61'}",243,Thai Ridgeback,,Hound,10 - 12 years,"Protective, Loyal, Independent, Intelligent, Loving, Familial",,,,,https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg
156,"{'imperial': '85 - 140', 'metric': '39 - 64'}","{'imperial': '24 - 26', 'metric': '61 - 66'}",244,Tibetan Mastiff,,Working,10 - 14 years,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",,,,,
157,"{'imperial': '9 - 15', 'metric': '4 - 7'}","{'imperial': '10', 'metric': '25'}",245,Tibetan Spaniel,,Non-Sporting,12 - 15 years,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",,,,,
158,"{'imperial': '20 - 24', 'metric': '9 - 11'}","{'imperial': '14 - 17', 'metric': '36 - 43'}",246,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,12 - 15 years,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",,,,,
159,"{'imperial': '4 - 9', 'metric': '2 - 4'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",248,Toy Fox Terrier,,Toy,12 - 15 years,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",,,,,
160,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '20 - 27', 'metric': '51 - 69'}",250,Treeing Walker Coonhound,,Hound,10 - 13 years,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",,,,,https://cdn2.thedogapi.com/images/B1SV7gqN7_1280.jpg
161,"{'imperial': '50 - 65', 'metric': '23 - 29'}","{'imperial': '21 - 24', 'metric': '53 - 61'}",251,Vizsla,Pointing and trailing,Sporting,10 - 14 years,"Affectionate, Energetic, Loyal, Gentle, Quiet",,,,,
162,"{'imperial': '55 - 90', 'metric': '25 - 41'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",253,Weimaraner,Large game trailing and versatile gundog,Sporting,12 - 15 years,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",,,,,
163,"{'imperial': '35 - 55', 'metric': '16 - 25'}","{'imperial': '17 - 19', 'metric': '43 - 48'}",254,Welsh Springer Spaniel,Flushing and retrieving birds,Sporting,12 - 15 years,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",,,,,https://cdn2.thedogapi.com/images/HkAVQl9VX_1280.jpg
164,"{'imperial': '15 - 22', 'metric': '7 - 10'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",256,West Highland White Terrier,"Fox, badger, vermin hunting",Terrier,15 - 20 years,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",,,,,https://cdn2.thedogapi.com/images/BkHHQgcN7_1280.jpg
165,"{'imperial': '25 - 35', 'metric': '11 - 16'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",257,Whippet,"Coursing, racing",Hound,12 - 15 years,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",,,,,
166,"{'imperial': '60 - 85', 'metric': '27 - 39'}","{'imperial': '22 - 25', 'metric': '56 - 64'}",258,White Shepherd,,,12 – 14 years,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",,,,,https://cdn2.thedogapi.com/images/Hy3H7g94X_1280.jpg
167,"{'imperial': '15 - 19', 'metric': '7 - 9'}","{'imperial': '13 - 16', 'metric': '33 - 41'}",259,Wire Fox Terrier,"Vermin hunting, fox bolting",,13 – 14 years,"Fearless, Friendly, Bold, Keen, Alert, Quick",,,, England,https://cdn2.thedogapi.com/images/SJIUQl9NX_1280.jpg
168,"{'imperial': '45 - 70', 'metric': '20 - 32'}","{'imperial': '20 - 24', 'metric': '51 - 61'}",260,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,12 - 14 years,"Loyal, Gentle, Vigilant, Trainable, Proud",,,,,
169,"{'imperial': '45 - 65', 'metric': '20 - 29'}","{'imperial': '21.5 - 25', 'metric': '55 - 64'}",261,Wirehaired Vizsla,,Sporting,12 - 14 years,,,,,,
170,"{'imperial': '9 - 31', 'metric': '4 - 14'}","{'imperial': '10 - 23', 'metric': '25 - 58'}",262,Xoloitzcuintli,,Non-Sporting,12 - 14 years,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",,,,,https://cdn2.thedogapi.com/images/Sk4DXl54m_1280.jpg
171,"{'imperial': '4 - 7', 'metric': '2 - 3'}","{'imperial': '8 - 9', 'metric': '20 - 23'}",264,Yorkshire Terrier,Small vermin hunting,Toy,12 - 16 years,"Bold, Independent, Confident, Intelligent, Courageous",,,,,https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg
